timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710103591296,476,Login,200,OK,Load Test 1-6,text,true,,460,237,50,50,http://20.76.217.223/login,476,0,31
1710103590967,805,Signup,200,OK,Load Test 1-33,text,true,,392,384,50,50,http://20.76.217.223/users,805,0,39
1710103590987,878,Signup,200,OK,Load Test 1-12,text,true,,392,384,50,50,http://20.76.217.223/users,877,0,31
1710103591477,388,Login,200,OK,Load Test 1-15,text,true,,460,237,50,50,http://20.76.217.223/login,387,0,33
1710103591477,388,Login,200,OK,Load Test 1-7,text,true,,460,237,50,50,http://20.76.217.223/login,388,0,33
1710103591477,388,Login,200,OK,Load Test 1-26,text,true,,460,237,50,50,http://20.76.217.223/login,388,0,33
1710103591483,389,Login,200,OK,Load Test 1-27,text,true,,460,237,50,50,http://20.76.217.223/login,389,0,27
1710103591483,389,Login,200,OK,Load Test 1-20,text,true,,460,237,50,50,http://20.76.217.223/login,389,0,27
1710103591576,302,Login,200,OK,Load Test 1-38,text,true,,460,237,50,50,http://20.76.217.223/login,302,0,26
1710103591576,302,Login,200,OK,Load Test 1-47,text,true,,460,237,50,50,http://20.76.217.223/login,302,0,26
1710103591477,401,Login,200,OK,Load Test 1-14,text,true,,460,237,50,50,http://20.76.217.223/login,401,0,33
1710103591576,302,Login,200,OK,Load Test 1-45,text,true,,460,237,50,50,http://20.76.217.223/login,302,0,26
1710103591576,308,Login,200,OK,Load Test 1-44,text,true,,460,237,50,50,http://20.76.217.223/login,308,0,26
1710103591582,302,Login,200,OK,Load Test 1-42,text,true,,460,237,50,50,http://20.76.217.223/login,302,0,28
1710103591662,428,Login,200,OK,Load Test 1-3,text,true,,460,237,50,50,http://20.76.217.223/login,428,0,33
1710103591663,427,Login,200,OK,Load Test 1-46,text,true,,460,237,50,50,http://20.76.217.223/login,427,0,32
1710103591663,427,Login,200,OK,Load Test 1-50,text,true,,460,237,50,50,http://20.76.217.223/login,427,0,32
1710103591663,427,Login,200,OK,Load Test 1-10,text,true,,460,237,50,50,http://20.76.217.223/login,427,0,32
1710103591663,436,Login,200,OK,Load Test 1-40,text,true,,460,237,50,50,http://20.76.217.223/login,436,0,32
1710103591269,1001,Signup,200,OK,Load Test 1-18,text,true,,392,384,50,50,http://20.76.217.223/users,1001,0,33
1710103591767,503,Login,200,OK,Load Test 1-25,text,true,,460,237,50,50,http://20.76.217.223/login,503,0,24
